60	7	224,25,26,27,52,72	7
93	1	264,67,52,53,64	6
107	4	267,264,25,69,67,72	5
114	4	303,25,27,67,72	6
126	7	264,25,65	7
187	8	213,26,27,45,52,53,64	8
220	2	264,25,65	2
234	6	263,236,55,56,69,23,67,64,52,53	3
291	7	336,67,72,73	3
309	5	133,52	3
323	2	347,67,52,53,64	1
331	1	347,67,52,53,64	1
334	1	347,67,52,64	1
355	3	264,67,72,73,52,53,64	4
365	1	347,356,65,67,52,64	1
375	2	133,42,52,53,67	3
388	5	347,67	1
412	2	133,42,52,53,67	3
415	2	347,67,52,53	1
428	2	264,65,69,71,67,52,64	4
433	1	347,67,52,64	1
445	2	133,67,72,73	3
455	2	133,67	3
458	2	133,42,52,53,67	3
491	3	133,67,42,52,53,61	3
496	2	264,25,26,27,67,64	7
505	5	345,67,25,42,52,53,72,73,61	7
518	4	133,67	3
532	6	264,312,25,67	6
540	2	348,67,52,53,64	3
543	3	264,67	2
566	2	133,67,72,73	3
582	7	263,25,65,55,56	5
586	1	133,67	3
591	7	263,25,55,56,64	1
602	7	196,67,72,73	7
606	1	347,25,27,67	1
612	1	133,67	3
627	2	133,42,52,53,67	3
636	6	347,56,65,356	1
650	7	271,312,25,72	7
651	2	133,42,52,53,67	3
660	2	347,67,64,65	2
679	3	133,67,72,73,52,53	6
685	1	264,67,52	1
700	1	264,65,67,52,64	5
718	7	225,25,26,67,68,72,73	7
730	7	303,25,65,67,73,64	6
736	6	225,25,26,27,67,72,73,64	7
746	2	133,52,53,67,72,73	3
755	3	347,52	1
788	5	347,52,64	2
802	5	345,67,72,73,52,53	6
828	7	264,64	7
834	3	133,72,73	7
842	7	205,25,67,72,64	7
861	5	264,67,52	6
866	1	264,52	2
889	7	264,25,64	7
905	5	133,52,53,67	7
920	1	312,25,67,52,64	3
948	1	264,25,67,52,64	4
953	3	263,67,52	1
961	1	347,25,67,52,64	1
974	1	264,53,64,67	1
980	1	347,67,52,64	1
988	7	2025,67,72,73,52,53	8
1002	1	264,45,47,52,53	1
1013	1	264,25,67,52,64	2
1025	7	214,52,53,67	7
1072	5	347,68,67,64	3
1080	6	382,383,397,93,25,26,67,70,69,64	8
1106	7	274,45,47,23,52,53	7
1115	7	205,30,31,67,52,53,64,77,71,69	7
1133	6	303,25,26,27,67,72,73,64	7
1146	6	303,25,26,27,67,72,73,64	7
1165	7	303,25,26,27,65,67,72	7
1178	6	347,25,27,67,64	7
1194	3	341,52,64,67	3
1205	6	263,293,25,26,27,65,67,72,73,64	7
1221	7	344,67,72,73	7
1233	7	177,67,72,73	7
1243	6	264,312,25,26,67,52,53	5
1252	1	264,18	4
1282	7	345,67,72,73,64	7
1288	6	348,347,25,27,67	7
1292	7	225,23,25,27	8
1321	2	153,67,25,27,72,52,53,64	1
1358	7	263,25,26,27,65,52,53,64	8
1368	6	264,312,67,65,52,53,72,73,61,64	7
1371	2	266,67,52,53	5
1380	7	264,67,72,52,53,312	7
1387	5	264,67	5
1405	5	264,67,52,64	5
